step,herbivores,predators,resource_biomass,resource_fraction,mean_herbivore_energy,mean_predator_energy,mean_herbivore_speed,mean_predator_speed,herbivore_births,predator_births,herbivore_deaths,predator_deaths,kills
0,90,18,70194.05727837866,0.6338860698390039,54.0,72.0,1.7552900210556936,2.0960013181704156,0,0,0,0,0
1,90,18,71772.2635642202,0.6481380310265422,54.7402140485599,70.77494988970079,1.7552900210556936,2.0960013181704156,0,0,0,0,0
2,87,18,73342.69862993562,0.6623198143617868,55.456521024379875,76.8734804724202,1.7551950534618042,2.0960013181704156,0,0,3,0,3
3,86,18,74909.59684621388,0.6764696582469374,56.17026386502123,78.23995035668878,1.7537200400791604,2.0960013181704156,0,0,1,0,1
4,82,18,76460.08448649733,0.6904713067445511,56.91810125633008,86.22946655558057,1.7552497969512109,2.0960013181704156,0,0,4,0,4
5,80,18,77999.36375706879,0.704371738277346,57.68164808221909,90.17184560858283,1.756162438387999,2.0960013181704156,0,0,2,0,2
6,77,18,79517.8466640854,0.7180843686532932,58.452501260066576,96.1210311721173,1.7527909432176825,2.0960013181704156,0,0,3,0,3
7,74,18,81012.63691557973,0.7315830429640778,59.256832254518415,102.39457575928772,1.7527400777387137,2.0960013181704156,0,0,3,0,3
8,73,18,82482.30140644286,0.7448548195818703,60.02180440125897,103.60888546917796,1.7510254747729315,2.0960013181704156,0,0,1,0,1
9,72,18,83917.10517427363,0.7578117871179324,60.84032235996796,104.04724527740422,1.7517246004976412,2.0960013181704156,0,0,1,0,1
10,69,18,85314.50505966597,0.7704309796206811,61.728609941159725,109.79014681410506,1.754352431624432,2.0960013181704156,0,0,3,0,3
11,65,18,86677.3595496038,0.782738210601262,62.513805209428014,117.80207914921795,1.756517206146196,2.0960013181704156,0,0,4,0,4
12,63,18,88007.2422455875,0.7947476904374371,63.386489863648755,121.25352122987245,1.7594620750645402,2.0960013181704156,0,0,2,0,2
13,62,18,89294.13187831084,0.8063689222515272,64.198801248195,122.54188920119132,1.7572790113883634,2.0960013181704156,0,0,1,0,1
14,60,18,90534.08284828824,0.8175662753840712,65.03650505205638,126.07835958526191,1.756874360972803,2.0960013181704156,0,0,2,0,2
15,59,18,91728.30519070222,0.8283506770342648,65.92002021543415,127.33181809114522,1.7594488387108898,2.0960013181704156,0,0,1,0,1
16,58,18,92871.69185405293,0.8386760080728078,66.6840409935037,128.68912794993,1.7585009183522495,2.0960013181704156,0,0,1,0,1
17,58,18,93964.87670372718,0.8485479926087551,67.49701940581902,127.44901683095867,1.7585009183522495,2.0960013181704156,0,0,0,0,0
18,58,18,95003.59867200197,0.8579281511528597,68.31864959200733,126.2340677021965,1.7585009183522495,2.0960013181704156,0,0,0,0,0
19,58,18,95989.30117531575,0.8668295184492119,69.13853242915405,125.02129167494407,1.7585009183522495,2.0960013181704156,0,0,0,0,0
20,57,18,96922.88280140805,0.8752602091769274,69.93344750064577,126.30903630441819,1.755631136075332,2.0960013181704156,0,0,1,0,1
21,55,18,97806.19460593225,0.8832369392581035,70.7870088927572,128.4413684859886,1.7566163946278135,2.0960013181704156,0,0,2,0,2
22,52,18,98643.34404090783,0.8907968009583627,71.56720141243798,132.8362898645072,1.7596382083126807,2.0960013181704156,0,0,3,0,3
23,51,18,99438.56508105854,0.8979780291041488,72.38364757776654,134.04303782164698,1.7587102783555784,2.0960013181704156,0,0,1,0,1
24,51,18,100187.43839157035,0.9047407149783258,73.19976536779834,132.84094248355456,1.7587102783555784,2.0960013181704156,0,0,0,0,0
25,50,18,100887.50393822056,0.9110626432896628,74.07590270602805,134.07985493331688,1.7572063177049744,2.0960013181704156,0,0,1,0,1
26,49,18,101543.97368183876,0.9169908805491228,75.09173651982393,135.02407247905285,1.762250254948162,2.0960013181704156,0,0,1,0,1
27,49,18,102157.86570167908,0.9225346205016213,75.92075271933386,133.82254455677355,1.762250254948162,2.0960013181704156,0,0,0,0,0
28,49,18,102728.58041999661,0.927688448671987,76.74892336476908,132.5942520870429,1.762250254948162,2.0960013181704156,0,0,0,0,0
29,48,18,103257.77689631112,0.9324673471649649,77.70406738490051,133.97958649402682,1.7646997954088584,2.0960013181704156,0,0,1,0,1
30,46,18,103750.89960385973,0.9369204821902948,78.50863306286237,137.40827432163277,1.7638893992719828,2.0960013181704156,0,0,2,0,2
31,44,18,104212.90884039791,0.9410926476204403,79.3673655945073,140.89129892431652,1.7584880514633945,2.0960013181704156,0,0,2,0,2
32,44,18,104645.45396835457,0.944998737990756,80.20083458281589,139.65118780534516,1.7584880514633945,2.0960013181704156,0,0,0,0,0
33,43,18,105044.13841796273,0.9485990501634203,81.02918949973302,139.95895441725395,1.7572634860500336,2.0960013181704156,0,0,1,0,1
34,43,18,105414.70638767096,0.9519454570108689,81.86505806840464,138.76013151893324,1.7572634860500336,2.0960013181704156,0,0,0,0,0
